timestamp,date,action,ticker,shares,price_myr,total_value_myr,data_source,cash_after_myr
2025-08-31T17:40:38.140682,2025-08-31,BUY,4723.KL,33300,0.09,2997.0,yfinance,7003.0
2025-08-31T17:40:38.351728,2025-08-31,BUY,0090.KL,8700,0.285,2479.5,yfinance,4523.5
2025-08-31T17:40:38.605027,2025-08-31,BUY,0176.KL,9500,0.21,1995.0,yfinance,2528.5
2025-08-31T17:51:36.662943,2025-08-31,BUY,4723.KL,58200,0.09,5238.0,yfinance,4762.0
2025-08-31T17:51:37.004782,2025-08-31,BUY,0090.KL,15300,0.285,4360.5,yfinance,401.5
2025-08-31T22:34:54.305658,2025-08-31,BUY,5398.KL,1000,5.56,5560.0,yfinance,0.0
2025-08-31T22:39:42.040850,2025-08-31,BUY,5398.KL,1000,5.56,5560.0,yfinance,0.0
2025-08-31T22:41:11.679204,2025-08-31,BUY,5398.KL,1000,5.56,5560.0,yfinance,0.0
2025-08-31T22:42:30.178082,2025-08-31,BUY,5398.KL,1000,5.56,5560.0,yfinance,0.0
2025-08-31T22:47:46.085464,2025-08-31,BUY,5398.KL,1000,5.56,5560.0,yfinance,0.0
2025-08-31T22:52:08.372724,2025-08-31,SELL_PARTIAL,5398.KL,1000,5.56,5560.0,yfinance,5560.0
2025-08-31T22:54:48.237144,2025-08-31,BUY,5398.KL,1000,5.56,5560.0,yfinance,0.0
2025-08-31T22:56:23.291109,2025-08-31,BUY,5398.KL,1000,5.56,5560.0,yfinance,0.0
2025-08-31T22:56:58.436627,2025-08-31,SELL_PARTIAL,5398.KL,1000,5.56,5560.0,yfinance,5560.0
2025-08-31T23:05:54.810614,2025-08-31,BUY,5398.KL,1000,5.8,5800.0,manual,0.0
2025-08-31T23:06:57.439575,2025-08-31,SELL_PARTIAL,5398.KL,1000,5.8,5800.0,manual,5800.0
